Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TXT,"Textron Inc",45.1,-1.77,-3.78%,46.9,45,1653200,11/30/20
TYL,"Tyler Technologies",427.6,1.49,+0.35%,428.18,421.17,249300,11/30/20
UA,"Under Armour Inc Cl C",14.55,-0.16,-1.09%,14.74,14.41,2968800,11/30/20
UAA,"Under Armour",16.57,-0.11,-0.66%,16.76,16.33,4781600,11/30/20
UAL,"United Airlines Holdings Inc",45.05,-0.25,-0.55%,46.5,44.2,23385102,11/30/20
UDR,"United Dominion Realty Trust",38.47,-0.75,-1.91%,39.41,38.23,7764100,11/30/20
UHS,"Universal Health Services",130.58,-1.53,-1.16%,131.99,129.07,1632400,11/30/20
ULTA,"Ulta Beauty Inc",275.4,-5.89,-2.09%,283.97,274.56,1577500,11/30/20
UNH,"Unitedhealth Group Inc",336.34,-1.6,-0.47%,337.94,330.29,5265600,11/30/20
UNM,"Unumprovident Corp",22.23,-0.91,-3.93%,23.2,22.19,2098800,11/30/20
UNP,"Union Pacific Corp",204.08,-1.56,-0.76%,206.75,202.89,2536900,11/30/20
UPS,"United Parcel Service",171.07,2.18,+1.29%,171.23,168.11,4707000,11/30/20
URI,"United Rentals",226.98,-5.93,-2.55%,232,226.06,1273600,11/30/20
USB,"U.S. Bancorp",43.21,-1,-2.26%,44.58,43.07,14916400,11/30/20
V,"Visa Inc",210.35,-0.65,-0.31%,210.54,206.6,7723500,11/30/20
VAR,"Varian Medical Systems",173.98,0.08,+0.05%,174.22,173.77,1359700,11/30/20
VFC,"V.F. Corp",83.4,-2.32,-2.71%,85.15,82.89,5198800,11/30/20
VIAC,"Viacomcbs Inc Cl B",35.28,0.22,+0.61%,35.41,34.82,18542900,11/30/20
VLO,"Valero Energy Corp",53.77,-2.85,-5.03%,56.39,53.71,5480600,11/30/20
VMC,"Vulcan Materials Company",139.65,-2.68,-1.88%,142.06,137.88,811100,11/30/20
VNO,"Vornado Realty Trust",38.91,-1.42,-3.52%,40.71,38.86,4177200,11/30/20
VNT,"Vontier Corp [Vnt/I]",33.17,-0.92,-2.70%,34.37,32.19,3411800,11/30/20
VRSK,"Verisk Analytics Inc",198.31,0.08,+0.04%,201.15,196.34,1175300,11/30/20
VRSN,"Verisign Inc",200.72,0.2,+0.10%,201.07,196.58,1024400,11/30/20
VRTX,"Vertex Pharmaceutic",227.75,1.04,+0.46%,232.17,224.3,4585400,11/30/20
VTR,"Ventas Inc",47.91,0.01,+0.02%,49.28,47.81,2979100,11/30/20
VTRS,"Viatris Inc",16.82,-0.23,-1.35%,17.16,16.8,21164600,11/30/20
VZ,"Verizon Communications Inc",60.41,-0.17,-0.28%,60.6,60.19,21838100,11/30/20
WAB,"Wabtec Corp",73.3,-0.52,-0.70%,73.63,72.39,1514300,11/30/20
