Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
EOG,"Eog Resources",46.88,-4.55,-8.85%,50.81,46.72,9699900,11/30/20
EQIX,"Equinix Inc",697.79,-2.73,-0.39%,706.73,695.44,1021700,11/30/20
EQR,"Equity Residential",57.92,-1.28,-2.16%,59.34,57.57,5918900,11/30/20
ES,"Eversource Energy",87.51,-0.42,-0.48%,88.4,86.54,2331300,11/30/20
ESS,"Essex Property Trust",245.88,-4.13,-1.65%,249.98,243.06,1302900,11/30/20
ETN,"Eaton Corp",121.11,-0.79,-0.65%,122.15,120.01,3567100,11/30/20
ETR,"Entergy Corp",108.85,-2.66,-2.39%,110.98,108.23,2379000,11/30/20
ETSY,"Etsy Inc",160.7,0.15,+0.09%,164.64,153.36,11338600,11/30/20
EVRG,"Evergy Inc",55.41,-0.36,-0.65%,55.88,55,4262600,11/30/20
EW,"Edwards Lifesciences Corp",83.89,-1.37,-1.61%,84.98,83.12,3948300,11/30/20
EXC,"Exelon Corp",41.07,-0.67,-1.61%,41.52,40.92,9445700,11/30/20
EXPD,"Expeditors Intl",89.37,0.41,+0.46%,89.47,88.06,2782400,11/30/20
EXPE,"Expedia Group Inc",124.49,0.76,+0.61%,125.31,121.36,2791200,11/30/20
EXR,"Extra Space Storage Inc",112.73,2.73,+2.48%,112.74,109.64,1072400,11/30/20
F,"Ford Motor Company",9.08,-0.01,-0.11%,9.23,8.98,77931102,11/30/20
FANG,"Diamondback Energy",39.96,-3.56,-8.18%,43.29,39.78,16580699,11/30/20
FAST,"Fastenal Company",49.45,0.87,+1.79%,49.53,48.31,6174000,11/30/20
FB,"Facebook Inc",276.97,-0.84,-0.30%,277.7,271.01,16686100,11/30/20
FBHS,"Fortune Brands Home & Security",83.5,-1.51,-1.78%,85.17,82.95,1619800,11/30/20
FCX,"Freeport-Mcmoran Inc",23.39,-0.13,-0.55%,23.86,23.01,25711701,11/30/20
FDX,"Fedex Corp",286.58,-0.83,-0.29%,290.9,280.54,3187800,11/30/20
FE,"Firstenergy Corp",26.56,-0.16,-0.60%,26.91,26.29,8524800,11/30/20
FFIV,"F5 Networks Inc",162.81,-1.74,-1.06%,164.61,160.85,993100,11/30/20
FIS,"Fidelity National Information Services",148.41,0.13,+0.09%,148.5,145.18,4582400,11/30/20
FISV,"Fiserv Inc",115.18,-0.35,-0.30%,115.33,112.89,3735000,11/30/20
FITB,"Fifth Third Bncp",25.34,-0.94,-3.58%,26.38,25.27,8550600,11/30/20
FLIR,"Flir Systems Inc",38.24,-0.89,-2.27%,39.89,38.06,12378300,11/30/20
FLS,"Flowserve Corp",34.08,-1.38,-3.89%,35.46,33.95,1084400,11/30/20
FLT,"Fleetcor Technologies",265.21,-2.39,-0.89%,268.23,262.28,630600,11/30/20
FMC,"FMC Corp",116.01,0.34,+0.29%,116.35,114.15,865300,11/30/20
FOX,"Fox Corp Cl B",28.38,-0.35,-1.22%,28.81,28.29,2144800,11/30/20
FOXA,"Fox Corp Cl A",28.84,-0.32,-1.10%,29.21,28.71,4109800,11/30/20
FRC,"First Republic Bank",129.56,-0.78,-0.60%,130.86,128.75,1012700,11/30/20
FRT,"Federal Realty Investment Trust",87.22,-1.15,-1.30%,88.8,86.34,5379300,11/30/20
FTI,"Technipfmc Plc",8.31,-0.66,-7.36%,9,8.28,7745000,11/30/20
FTNT,"Fortinet Inc",123.23,-0.56,-0.45%,124.1,120.14,1720200,11/30/20
FTV,"Fortive Corp",70.13,-1.3,-1.82%,70.55,69.22,2266400,11/30/20
GD,"General Dynamics Corp",149.35,-2.71,-1.78%,152.17,148.65,1571200,11/30/20
GE,"General Electric Company",10.18,-0.22,-2.12%,10.39,9.96,125076398,11/30/20
GILD,"Gilead Sciences Inc",60.67,0.64,+1.07%,60.79,59.64,16314699,11/30/20
GIS,"General Mills",60.82,0.69,+1.15%,60.85,59.62,4468000,11/30/20
GL,"Globe Life Inc",93.1,-2.92,-3.04%,95.78,92.93,1550200,11/30/20
GLW,"Corning Inc",37.42,0.33,+0.89%,37.42,36.66,5297600,11/30/20
GM,"General Motors Company",43.84,-1.22,-2.71%,45.32,43.62,21594000,11/30/20
GOOG,"Alphabet Cl C",1760.74,-32.45,-1.81%,1788.06,1755,1822700,11/30/20
GOOGL,"Alphabet Cl A",1754.4,-32.62,-1.83%,1780.33,1747.84,1620700,11/30/20
GPC,"Genuine Parts Company",98.37,0.01,+0.01%,98.49,96.55,1978800,11/30/20
GPN,"Global Payments Inc",195.19,-1.84,-0.93%,196.8,191.27,1575200,11/30/20
GPS,"Gap Inc",20.96,-0.79,-3.63%,21.87,20.39,20040500,11/30/20
GRMN,"Garmin Ltd",116.76,-0.29,-0.25%,117.07,114.31,1162500,11/30/20
GS,"Goldman Sachs Group",230.58,-4.82,-2.05%,235,230.36,2705100,11/30/20
GWW,"W.W. Grainger",418.3,3.72,+0.90%,418.75,411.58,565400,11/30/20
HAL,"Halliburton Company",16.59,-0.97,-5.52%,17.55,16.56,15726800,11/30/20
HAS,"Hasbro Inc",93.03,0.71,+0.77%,93.25,90.69,1223300,11/30/20
HBAN,"Huntington Bcshs",12.08,-0.38,-3.05%,12.52,12.05,12364199,11/30/20
HBI,"Hanesbrands Inc",14.2,-0.23,-1.59%,14.45,14,4904600,11/30/20
HCA,"Hca Holdings Inc",150.11,-2.94,-1.92%,152.46,148.92,1846200,11/30/20
HD,"Home Depot",277.41,1.42,+0.51%,277.76,271.92,4623400,11/30/20
HES,"Hess Corp",47.18,-3.59,-7.07%,50.98,46.88,4305200,11/30/20
HFC,"Hollyfrontier Corp",23.39,-1.54,-6.18%,24.68,23.24,5402100,11/30/20
HIG,"Hartford Financial Services Group",44.2,-1.63,-3.56%,45.42,43.93,7693600,11/30/20
HII,"Huntington Ingalls Industries",160.19,-4.34,-2.64%,164.38,159,612900,11/30/20
HLT,"Hilton Inc",103.63,-0.78,-0.75%,104.28,101.77,2952800,11/30/20
HOLX,"Hologic Inc",69.13,-0.38,-0.55%,69.87,68.12,2230300,11/30/20
HON,"Honeywell International Inc",203.92,-5.49,-2.62%,208.25,203.92,6465600,11/30/20
HPE,"Hewlett Packard Enterprise Comp",11.04,-0.18,-1.60%,11.39,10.94,18572299,11/30/20
HPQ,"Hp Inc",21.93,-0.34,-1.53%,22.28,21.8,14793899,11/30/20
HRL,"Hormel Foods Corp",47.18,-0.02,-0.04%,47.32,46.59,3413000,11/30/20
HSIC,"Henry Schein Inc",64.31,0.63,+0.99%,64.92,63.11,1323800,11/30/20
HST,"Host Marriott Financial Trust",14.03,-0.59,-4.04%,14.57,13.99,17143100,11/30/20
HSY,"Hershey Foods Corp",147.89,-0.16,-0.11%,148.03,146.23,1507400,11/30/20
HUM,"Humana Inc",400.52,-5.97,-1.47%,406.29,395.1,1336600,11/30/20
HWM,"Howmet Aerospace Inc",23.46,-1.14,-4.63%,24.56,23.43,6963000,11/30/20
IBM,"International Business Machines",123.52,-0.83,-0.67%,125,123.09,5987900,11/30/20
ICE,"Intercontinental Exchange",105.51,0.52,+0.50%,105.65,104.55,4146600,11/30/20
IDXX,"Idexx Laboratories",460.98,6.75,+1.49%,461.09,451.31,589700,11/30/20
IEX,"Idex Corp",193.15,0.79,+0.41%,193.25,189.81,437700,11/30/20
IFF,"International Flavors & Fragrances",112.1,-0.77,-0.68%,112.68,110.17,2359900,11/30/20
ILMN,"Illumina Inc",322.09,5.06,+1.60%,322.55,311.02,1603400,11/30/20
INCY,"Incyte Corp",84.54,1.29,+1.55%,84.97,82.89,3217000,11/30/20
INFO,"IHS Markit Ltd",99.46,6.88,+7.43%,101.45,97.5,8715700,11/30/20
INTC,"Intel Corp",48.35,0.9,+1.90%,48.5,47.26,46319000,11/30/20
INTU,"Intuit Inc",352.02,-2.22,-0.63%,356.44,348.13,1875700,11/30/20
IP,"International Paper Company",49.48,-1.21,-2.39%,50.62,49.33,3427000,11/30/20
IPG,"Interpublic Group of Companies",22.28,-0.52,-2.28%,22.69,22.2,4915500,11/30/20
IPGP,"Ipg Photonics Corp",207.01,3.49,+1.71%,207.02,200.53,571900,11/30/20
IQV,"Iqvia Holdings Inc",168.99,0.18,+0.11%,170.42,167.74,1643900,11/30/20
IR,"Ingersoll Rand Inc",44.27,-0.53,-1.18%,44.89,44.03,2517300,11/30/20
IRM,"Iron Mountain Inc",27.5,0.88,+3.31%,27.5,26.53,6963000,11/30/20
ISRG,"Intuitive Surg Inc",726.05,-3.77,-0.52%,733.89,721,784600,11/30/20
IT,"Gartner Inc",152,-0.55,-0.36%,153.71,150.37,556900,11/30/20
ITW,"Illinois Tool Works Inc",211.09,-1.14,-0.54%,211.1,208.04,2758600,11/30/20
IVZ,"Invesco Plc",16.23,-0.78,-4.59%,16.93,16.19,7028500,11/30/20
J,"Jacobs Engineering Group Inc",107.84,1.98,+1.87%,107.99,105.86,1180300,11/30/20
JBHT,"J B Hunt Transport",135.28,-0.01,-0.01%,136.75,134.52,585900,11/30/20
JCI,"Johnson Controls Intl",46.04,0.07,+0.15%,46.55,45.83,7699500,11/30/20
JKHY,"Jack Henry & Assoc",160.86,3.06,+1.94%,162.06,156.89,1348800,11/30/20
JNJ,"Johnson & Johnson",144.68,0.68,+0.47%,144.86,143.06,15657400,11/30/20
JNPR,"Juniper Networks",21.77,-0.44,-1.98%,22.09,21.56,6021100,11/30/20
JPM,"JP Morgan Chase & Company",117.88,-3.34,-2.76%,120.72,117.77,14410300,11/30/20
K,"Kellogg Company",63.91,0.43,+0.68%,63.92,62.49,3265100,11/30/20
KEY,Keycorp,15.46,-0.87,-5.33%,16.18,15.38,12859801,11/30/20
KEYS,"Keysight Technologies Inc Comm",120.04,0.97,+0.81%,120.09,118.17,1490800,11/30/20
KHC,"Kraft Heinz Company",32.94,0.1,+0.30%,32.97,32.47,5826000,11/30/20
KIM,"Kimco Realty Corp",14.44,-0.63,-4.18%,15.06,14.41,5826800,11/30/20
KLAC,"K L A-Tencor Corp",251.97,-2.16,-0.85%,256.99,248.41,1017700,11/30/20
KMB,"Kimberly-Clark Corp",139.31,-2.06,-1.46%,142.47,139.09,7673600,11/30/20
KMI,"Kinder Morgan",14.38,-0.37,-2.51%,14.68,14.3,36295098,11/30/20
KMX,"Carmax Inc",93.48,-1.89,-1.98%,95.95,92.65,986100,11/30/20
KO,"Coca-Cola Company",51.6,-1.1,-2.09%,52.19,51.08,43202000,11/30/20
KR,"Kroger Company",33,0.57,+1.76%,33.17,32.54,34107301,11/30/20
KSU,"Kansas City Southern",186.17,-3.33,-1.76%,191.95,185.85,1118300,11/30/20
L,"Loews Corp",41.91,-1.5,-3.46%,43.59,41.74,3555900,11/30/20
LB,"L Brands Inc",38.81,-0.03,-0.08%,38.88,37.66,4285400,11/30/20
LDOS,"Leidos Holdings Inc",100.7,-1.58,-1.54%,101.71,100.22,1783200,11/30/20
LEG,"Leggett & Platt Inc",43.1,-1.2,-2.71%,44.42,42.7,910400,11/30/20
LEN,"Lennar Corp",75.86,-1.85,-2.38%,77.56,74.85,2203400,11/30/20
LH,"Laboratory Corp of America Holdings",199.84,-0.16,-0.08%,201.61,197.82,582800,11/30/20
LHX,"L3Harris Technologies Inc",191.99,-2.48,-1.28%,194.53,189.85,1505300,11/30/20
LIN,"Linde Plc",256.42,-1.01,-0.39%,261.52,255.3,3384400,11/30/20
LKQ,"LKQ Corp",35.22,-0.76,-2.11%,35.71,34.98,2929800,11/30/20
LLY,"Eli Lilly and Company",145.65,-1.79,-1.21%,148.17,144.9,5842100,11/30/20
LMT,"Lockheed Martin Corp",365,-9.34,-2.50%,372.44,363.39,1607700,11/30/20
LNC,"Lincoln National Corp",47.22,-1.94,-3.95%,49.56,47.02,3003300,11/30/20
LNT,"Alliant Energy Corp",52.6,-0.16,-0.30%,52.95,52.11,2093100,11/30/20
LOW,"Lowe's Companies",155.82,1.15,+0.74%,155.86,151.39,7291900,11/30/20
LRCX,"Lam Research Corp",452.66,-3.88,-0.85%,456.89,445.6,1434400,11/30/20
LUMN,Centurylink,10.45,-0.01,-0.10%,10.6,10.36,10618700,11/30/20
LUV,"Southwest Airlines Company",46.34,-1.39,-2.91%,47.7,46.04,8788000,11/30/20
LVS,"Las Vegas Sands",55.71,-0.88,-1.56%,56.37,54.9,4883600,11/30/20
LW,"Lamb Weston Holdings Inc",72.38,-0.81,-1.11%,73,71.75,3592700,11/30/20
LYB,"Lyondellbasell Industries NV",85.1,-2.76,-3.14%,87.45,84.76,3826900,11/30/20
LYV,"Live Nation Entertainment",65.65,-1.58,-2.35%,67.25,64.92,2262200,11/30/20
MA,"Mastercard Inc",336.51,-2.56,-0.76%,338.05,330.18,4276000,11/30/20
MAA,"Mid-America Apartment Communities",126.16,2.16,+1.74%,126.3,122.45,2082800,11/30/20
MAR,"Marriot Int Cl A",126.87,-1.48,-1.15%,128.31,124.88,2094200,11/30/20
MAS,"Masco Corp",53.67,-0.57,-1.05%,54.43,52.99,2379800,11/30/20
MCD,"McDonald's Corp",217.44,-0.89,-0.41%,217.57,214.43,3412300,11/30/20
MCHP,"Microchip Technology",134.39,1.38,+1.04%,134.81,131.32,1877700,11/30/20
MCK,"Mckesson Corp",179.91,-0.09,-0.05%,182.52,179.24,1797500,11/30/20
MCO,"Moody's Corp",282.34,5.12,+1.85%,283.35,277.33,1527200,11/30/20
MDLZ,"Mondelez Intl Inc",57.45,-0.01,-0.02%,57.51,56.89,7659700,11/30/20
MDT,"Medtronic Inc",113.7,-0.89,-0.78%,114.44,113.06,5797200,11/30/20
MET,"Metlife Inc",46.17,-1.28,-2.70%,47.3,46.05,6815300,11/30/20
MGM,"MGM Resorts International",28.25,-0.37,-1.29%,28.93,27.59,9633800,11/30/20
MHK,"Mohawk Industries",125.83,-4.72,-3.62%,130.29,125.71,840000,11/30/20
MKC,"Mccormick & Company Inc",186.98,0.5,+0.27%,187.22,182.27,896100,11/30/20
MKTX,"Marketaxess Holdings",539.18,5.29,+0.99%,541.54,526.04,330400,11/30/20
MLM,"Martin Marietta Materials",265.63,-5.38,-1.99%,269.28,261.82,500200,11/30/20
MMC,"Marsh & Mclennan Companies",114.64,0.28,+0.24%,114.74,113.32,2837000,11/30/20
MMM,"3M Company",172.73,-4.16,-2.35%,176,172.7,6140700,11/30/20
MNST,"Monster Beverage Cp",84.78,0.63,+0.75%,84.85,83.28,2654400,11/30/20
MO,"Altria Group",39.83,-0.54,-1.34%,40.28,39.6,14472199,11/30/20
MOS,"Mosaic Company",21.96,-0.72,-3.17%,22.65,21.78,6196000,11/30/20
MPC,"Marathon Petroleum Corp",38.88,-2.54,-6.13%,41.49,38.64,13248199,11/30/20
MRK,"Merck & Company",80.39,0.53,+0.66%,80.54,79.41,13836199,11/30/20
MRO,"Marathon Oil Corp",5.92,-0.43,-6.77%,6.32,5.9,33818500,11/30/20
MS,"Morgan Stanley",61.83,-2.01,-3.15%,63.83,61.59,15610500,11/30/20
MSCI,"MSCI Inc",409.42,7.17,+1.78%,411.2,400.48,672600,11/30/20
MSFT,"Microsoft Corp",214.07,-1.16,-0.54%,214.76,210.84,33053902,11/30/20
MSI,"Motorola Solutions",171.53,-1.93,-1.11%,174.63,170.27,1513700,11/30/20
MTB,"M&T Bank Corp",116.49,-4.49,-3.71%,121.19,116.29,1832300,11/30/20
MTD,"Mettler-Toledo International",1150.04,23.36,+2.07%,1151.55,1123.49,177300,11/30/20
MU,"Micron Technology",64.09,-0.14,-0.22%,65.25,63.58,20370400,11/30/20
MXIM,"Maxim Integrated",83.04,0.63,+0.76%,83.43,82.05,2510600,11/30/20
NCLH,"Norwegian Cruise Ord",22.87,-0.81,-3.42%,24.2,22.32,25607100,11/30/20
NDAQ,"Nasdaq Inc",127.99,0.87,+0.68%,128.28,126.43,1037500,11/30/20
NEE,"Nextera Energy",73.59,-1.54,-2.05%,75.4,73.25,13117500,11/30/20
NEM,"Newmont Mining Corp",58.82,0.34,+0.58%,58.91,57.46,10965400,11/30/20
NFLX,"Netflix Inc",490.7,-0.66,-0.13%,492.55,481.27,3529600,11/30/20
NI,"NiSource Inc",24.2,-0.31,-1.26%,24.5,24.02,3601100,11/30/20
NKE,"Nike Inc",134.7,0.45,+0.34%,135.29,132.69,9652300,11/30/20
NLOK,"Nortonlifelock Inc",18.23,0.12,+0.66%,18.39,18,14397700,11/30/20
NLSN,"Nielsen Holdings Plc",16.17,-0.07,-0.43%,16.55,16.08,26169500,11/30/20
NOC,"Northrop Grumman Corp",302.26,-3.77,-1.23%,306.4,299.14,1154500,11/30/20
NOV,National-Oilwell,12.26,-0.89,-6.77%,13.19,12.19,33977699,11/30/20
NOW,"Servicenow Inc",534.55,7.07,+1.34%,535,520.98,1719500,11/30/20
NRG,"NRG Energy",32.75,0.24,+0.74%,33.06,32.13,4917200,11/30/20
NSC,"Norfolk Southern Corp",237.02,-5.7,-2.35%,244.49,236.78,2149100,11/30/20
NTAP,"Netapp Inc",53.31,0.05,+0.09%,53.37,52.33,4533900,11/30/20
NTRS,"Northern Trust Corp",93.12,-3.02,-3.14%,95.84,92.68,1163100,11/30/20
NUE,"Nucor Corp",53.7,-1.37,-2.49%,55.34,53.69,2847200,11/30/20
NVDA,"Nvidia Corp",536.06,5.61,+1.06%,536.5,518.89,7160500,11/30/20
NVR,"NVR Inc",3997.18,-123.04,-2.99%,4100,3950.01,38800,11/30/20
NWL,"Newell Rubbermaid Inc",21.26,0.19,+0.90%,21.49,20.95,4987300,11/30/20
NWS,"News Cp Cl B",17.81,0,0.00%,18.04,17.73,931600,11/30/20
NWSA,"News Cp Cl A",17.65,-0.06,-0.34%,17.92,17.59,7736800,11/30/20
O,"Realty Income Corp",59.97,-1.67,-2.71%,61.83,59.93,5519700,11/30/20
ODFL,"Old Dominion Freight Line Inc",203.36,1.37,+0.68%,204.32,199.29,965500,11/30/20
OKE,"Oneok Inc",35.87,-1.36,-3.65%,37.21,35.6,5530200,11/30/20
OMC,"Omnicom Group Inc",63,0,0.00%,63.95,62.56,4237900,11/30/20
ORCL,"Oracle Corp",57.72,-0.04,-0.07%,58.19,57.2,26676900,11/30/20
ORLY,"O'Reilly Automotive",442.44,-0.71,-0.16%,444.71,435.26,614600,11/30/20
OTIS,"Otis Worldwide Corp [Otis/I]",66.94,-0.4,-0.59%,67.7,66.38,1831000,11/30/20
OXY,"Occidental Petroleum Corp",15.76,-0.8,-4.83%,16.55,15.72,31022000,11/30/20
PAYC,"Paycom Software Inc",417.08,0.31,+0.07%,422.5,405.01,394800,11/30/20
PAYX,"Paychex Inc",93.15,-0.22,-0.24%,93.37,91.7,1847800,11/30/20
PBCT,"People's United Finl",12.4,-0.46,-3.58%,12.9,12.36,30511602,11/30/20
PCAR,"Paccar Inc",87.06,-0.68,-0.78%,87.9,86.37,2092000,11/30/20
PEAK,"Healthpeak Properties Inc",28.86,-1.02,-3.41%,29.93,28.78,7254500,11/30/20
PEG,"Public Service Enterprise Group Inc",58.28,-1.07,-1.80%,59.08,58.17,3996400,11/30/20
PEP,"Pepsico Inc",144.23,-0.37,-0.26%,144.63,142.88,4906800,11/30/20
PFE,"Pfizer Inc",38.31,1.08,+2.90%,38.8,37.6,65334801,11/30/20
PFG,"Principal Financial Group Inc",49.79,-1.61,-3.13%,51.58,49.61,2464700,11/30/20
PG,"Procter & Gamble Company",138.87,0.26,+0.19%,139.2,136.74,11640300,11/30/20
PGR,"Progressive Corp",87.11,-1.32,-1.49%,88.66,86.22,4022300,11/30/20
PH,"Parker-Hannifin Corp",267.26,-5.59,-2.05%,271.25,265.3,924900,11/30/20
PHM,Pultegroup,43.63,-0.73,-1.65%,44.62,42.78,5629500,11/30/20
PKG,"Packaging Corp of America",130,-2.77,-2.09%,132.21,129.21,696800,11/30/20
PKI,Perkinelmer,133,3.74,+2.89%,133.19,129.45,1220500,11/30/20
PLD,"Prologis Inc",100.05,-0.55,-0.55%,101.01,99.09,3730200,11/30/20
PM,"Philip Morris International Inc",75.75,-0.15,-0.20%,76.09,75.42,5539000,11/30/20
PNC,"PNC Bank",138.07,-1.72,-1.23%,139.54,137.77,4297600,11/30/20
PNR,"Pentair Ltd",51.82,-1.28,-2.41%,53.1,51.5,1596300,11/30/20
PNW,"Pinnacle West Capital Corp",81.85,-2.09,-2.49%,84.26,81.36,1460400,11/30/20
POOL,"Pool Corp",346.11,2.99,+0.87%,346.82,337.57,3029300,11/30/20
PPG,"PPG Industries",146.77,-1.01,-0.68%,147.35,144.35,1414900,11/30/20
PPL,"PPL Corp",28.42,-0.69,-2.37%,29,28.38,7431800,11/30/20
PRGO,"Perrigo Company",48.22,0.19,+0.40%,48.6,47.85,1136700,11/30/20
PRU,"Prudential Financial Inc",75.62,-2.47,-3.16%,77.99,75.34,3305200,11/30/20
PSA,"Public Storage",224.46,4.43,+2.01%,225.6,219.81,1465800,11/30/20
PSX,"Phillips 66",60.58,-4.65,-7.13%,64.5,60.3,6423000,11/30/20
