Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
BIO,"Bio-Rad Laboratories",538.5,+42.39,+45.53%,-8.17%,+7.95%,+45.78%
BK,"Bank of New York Mellon Corp",39.12,-13.61,-22.27%,+13.85%,+4.15%,-20.11%
BKNG,"Booking Holdings Inc",2028.45,+15.75,-1.23%,+25.02%,+4.28%,+6.53%
BKR,"Baker Hughes A Ge CO Cl A",18.72,+1.27,-26.96%,+26.74%,+26.49%,-16.50%
BLK,Blackrock,698.35,+47.73,+38.92%,+16.55%,+16.19%,+41.11%
BLL,"Ball Corp",96.01,+57.90,+48.46%,+7.88%,+19.61%,+45.34%
BMY,"Bristol-Myers Squibb Company",62.4,+5.24,-2.79%,+6.76%,+0.05%,+9.59%
BR,"Broadridge Financial Solutions Llc",146.88,+26.14,+18.89%,+6.74%,+6.07%,+18.73%
BRK.B,"Berkshire Hathaway Cl B",228.91,+10.52,+1.06%,+13.38%,+4.74%,+3.91%
BSX,"Boston Scientific Corp",33.15,-25.01,-26.69%,-3.27%,-19.21%,-23.35%
BWA,"Borgwarner Inc",38.85,-0.48,-10.44%,+11.06%,-6.23%,-7.61%
BXP,"Boston Properties",98.16,-19.74,-28.80%,+35.56%,+10.37%,-29.15%
C,"Citigroup Inc",55.07,-17.13,-31.07%,+32.96%,+5.34%,-26.69%
CAG,"Conagra Brands Inc",36.56,+21.71,+6.78%,+4.19%,-4.19%,+26.64%
CAH,"Cardinal Health",54.59,+3.79,+7.93%,+19.22%,+8.10%,-0.80%
CARR,"Carrier Global Corp [Carr/I]",38.07,+210.06,+217.25%,+14.02%,+25.64%,+217.25%
CAT,"Caterpillar Inc",173.59,+35.21,+17.54%,+10.53%,+20.86%,+19.94%
CB,"Chubb Ltd",147.83,+8.22,-5.03%,+13.79%,+16.96%,-2.41%
CBOE,"CBOE Global Markets Inc",91.32,-19.72,-23.90%,+12.34%,-0.47%,-23.20%
CBRE,"CBRE Group Inc",61.14,+19.70,-0.24%,+21.31%,+27.77%,+7.23%
CCI,"Crown Castle International Corp",167.57,+20.84,+17.88%,+7.28%,+2.31%,+25.37%
CCL,"Carnival Corp",19.98,-25.14,-60.69%,+45.73%,+16.10%,-55.68%
CDNS,"Cadence Design Sys",116.3,+72.90,+67.68%,+6.34%,+4.91%,+65.55%
CDW,"CDW Corp",130.49,+4.19,-8.65%,+6.44%,+13.14%,-3.38%
CE,"Celanese Corp",129.33,+18.42,+5.04%,+13.94%,+24.43%,+2.99%
CERN,"Cerner Corp",74.84,+7.81,+1.98%,+6.78%,+2.80%,+4.54%
CF,"Cf Industries Holdings",37.3,+2.09,-21.87%,+35.10%,+12.32%,-19.28%
CFG,"Citizens Financial Group Inc/Ri",32.66,-1.04,-19.58%,+19.85%,+24.23%,-15.08%
CHD,"Church & Dwight Company",87.77,+23.98,+24.78%,-0.70%,-7.52%,+24.96%
CHRW,"C.H. Robinson Ww",93.97,+25.09,+20.17%,+6.26%,-4.82%,+22.28%
CHTR,"Charter Communicatio",651.99,+42.07,+34.41%,+7.98%,+5.90%,+38.72%
CI,"Cigna Corp",209.14,+12.19,+2.27%,+25.26%,+15.45%,+4.61%
CINF,"Cincinnati Financial",76.35,-18.85,-27.39%,+7.93%,-5.03%,-28.68%
CL,"Colgate-Palmolive Company",85.64,+29.06,+24.40%,+8.56%,+7.90%,+26.28%
CLX,"Clorox Company",202.96,+24.39,+32.19%,-2.07%,-6.53%,+36.92%
CMA,"Comerica Inc",49.2,-16.93,-31.43%,+8.11%,+22.42%,-30.12%
CMCSA,"Comcast Corp A",50.24,+22.90,+11.72%,+18.94%,+12.75%,+13.79%
CME,"CME Group Inc",175.03,-11.33,-12.80%,+16.13%,-1.13%,-13.66%
CMG,"Chipotle Mexican Grill",1289.43,+52.65,+54.03%,+7.32%,-0.93%,+58.42%
CMI,"Cummins Inc",231.17,+39.88,+29.17%,+5.13%,+10.76%,+26.42%
CMS,"Cms Energy Corp",61.54,+1.67,-2.07%,-2.83%,+2.48%,+0.39%
CNC,"Centene Corp",61.65,+1.46,-1.94%,+4.31%,+1.93%,+1.95%
CNP,"Centerpoint Energy Inc",23.19,-2.31,-14.96%,+9.75%,+16.24%,-5.58%
COF,"Capital One Financial Corp",85.64,+8.79,-16.78%,+17.19%,+20.40%,-14.37%
COG,"Cabot Oil & Gas Corp",17.52,+4.61,+0.63%,-1.52%,-7.55%,+9.91%
COO,"Cooper Companies",335.22,+10.87,+4.34%,+5.07%,+6.12%,+7.07%
COP,Conocophillips,39.56,-20.28,-39.17%,+38.23%,+3.07%,-34.00%
COST,"Costco Wholesale",391.77,+38.09,+33.29%,+9.55%,+12.46%,+30.67%
CPB,"Campbell Soup Company",50.02,+5.19,+1.21%,+7.18%,-4.07%,+7.41%
CPRT,"Copart Inc",115.45,+38.08,+26.95%,+4.61%,+10.92%,+29.72%
CRM,"Salesforce.com Inc",245.8,+42.30,+51.13%,+5.83%,-9.33%,+50.90%
CSCO,"Cisco Systems Inc",43.02,-0.95,-10.30%,+19.83%,+1.94%,-5.05%
CSX,"CSX Corp",90.05,+36.41,+24.45%,+14.07%,+16.84%,+25.87%
CTAS,"Cintas Corp",355.3,+60.47,+32.04%,+12.96%,+6.42%,+38.22%
CTLT,"Catalent Inc",96.14,+77.80,+70.76%,+9.54%,+9.67%,+84.92%
CTSH,"Cognizant Tech Sol",78.13,+31.96,+25.98%,+9.40%,+15.42%,+21.87%
CTVA,"Corteva Inc",38.32,+59.11,+29.63%,+16.19%,+29.81%,+47.27%
CTXS,"Citrix Systems Inc",123.92,+3.65,+11.74%,+9.40%,-13.96%,+9.85%
CVS,"CVS Corp",67.79,-3.26,-8.75%,+20.86%,+7.25%,-9.94%
CVX,"Chevron Corp",87.18,-10.46,-27.66%,+25.44%,+1.81%,-25.57%
CXO,"Concho Resources Inc",57.48,-22.38,-34.36%,+38.47%,+9.99%,-20.78%
D,"Dominion Resources",78.49,-3.20,-5.23%,-2.30%,+0.60%,-5.56%
DAL,"Delta Air Lines Inc",40.25,+2.31,-31.17%,+31.36%,+25.82%,-29.77%
DD,"Du Pont De.Nemours Inc",63.44,+8.19,-1.18%,+11.53%,+10.95%,-2.11%
DE,"Deere & Company",261.62,+77.39,+51.00%,+15.81%,+24.64%,+55.68%
DFS,"Discover Financial Services",76.17,+27.62,-10.20%,+17.17%,+40.41%,-10.25%
DG,"Dollar General Corp",218.58,+42.63,+40.13%,+4.73%,+9.08%,+38.90%
DGX,"Quest Diagnostics Inc",123.98,+20.65,+16.10%,+1.51%,+11.95%,+16.36%
DHI,"D.R. Horton",74.5,+52.78,+41.23%,+11.51%,+3.70%,+34.60%
DHR,"Danaher Corp",224.63,+53.85,+46.36%,-2.14%,+9.23%,+53.88%
DIS,"Walt Disney Company",148.01,+14.11,+2.34%,+22.07%,+9.20%,-2.36%
DISCA,"Discovery Comm A",26.91,-3.03,-17.81%,+32.95%,+17.64%,-18.31%
DISCK,"Discovery Comm Inc",24.02,-5.54,-21.22%,+31.11%,+16.15%,-21.30%
DISH,"Dish Network Corp",35.87,+24.23,+1.13%,+40.72%,+3.02%,+4.98%
DLR,"Digital Realty Trust",134.75,+6.46,+12.54%,-6.62%,-12.66%,+11.41%
DLTR,"Dollar Tree Inc",109.24,+28.71,+16.15%,+20.95%,+15.32%,+19.44%
DOV,"Dover Corp",122.03,+24.53,+5.87%,+10.22%,+9.56%,+9.46%
DOW,"Dow Inc",53.01,+25.48,-3.14%,+16.53%,+15.11%,-0.67%
DPZ,"Domino's Pizza Inc",392.57,+24.74,+33.63%,+3.77%,-5.63%,+33.39%
DRE,"Duke Realty Corp",38.06,+9.95,+9.78%,+0.18%,-1.60%,+8.19%
DRI,"Darden Restaurants",107.98,+13.55,-0.94%,+17.47%,+20.16%,-8.83%
DTE,"Dte Energy Company",125.81,+2.04,-3.13%,+1.94%,+6.75%,+0.70%
DUK,"Duke Energy Corp",92.66,+7.74,+1.59%,+0.60%,+16.25%,+5.09%
DVA,"Davita Healthcare Partners Inc",109.85,+60.55,+46.41%,+27.36%,+26.35%,+53.06%
DVN,"Devon Energy Corp",13.99,-14.30,-46.13%,+56.66%,+26.04%,-36.09%
DXC,"Dxc Technology Company",21.91,-34.86,-41.71%,+18.95%,+6.57%,-41.31%
DXCM,Dexcom,319.68,+21.71,+46.15%,+0.03%,-23.69%,+40.64%
EA,"Electronic Arts Inc",127.75,+20.64,+18.83%,+6.61%,-9.31%,+26.47%
EBAY,"Ebay Inc",50.43,+39.06,+39.66%,+5.88%,-7.08%,+41.98%
ECL,"Ecolab Inc",222.15,+23.26,+15.11%,+21.00%,+10.80%,+19.01%
ED,"Consolidated Edison Company of New York",76.25,-10.30,-15.72%,-2.85%,+7.52%,-12.25%
EFX,"Equifax Inc",166.9,+27.67,+19.11%,+22.18%,-0.87%,+19.52%
EIX,"Edison International",61.36,-7.24,-18.63%,+9.49%,+17.62%,-11.20%
EL,"Estee Lauder Companies",245.32,+32.85,+18.78%,+11.68%,+10.04%,+25.50%
EMN,"Eastman Chemical Company",97.4,+32.82,+22.89%,+20.48%,+30.86%,+24.28%
EMR,"Emerson Electric Company",76.82,+14.66,+0.73%,+18.57%,+8.73%,+4.01%
EOG,"Eog Resources",46.88,-16.85,-44.03%,+36.92%,+1.45%,-33.88%
EQIX,"Equinix Inc",697.79,+17.12,+19.55%,-4.57%,-11.34%,+23.10%
EQR,"Equity Residential",57.92,-26.36,-28.42%,+23.29%,+1.56%,-31.94%
ES,"Eversource Energy",87.51,+10.49,+2.87%,+0.28%,+3.23%,+5.89%
ESS,"Essex Property Trust",245.88,-10.54,-18.27%,+20.18%,+11.44%,-21.24%
ETN,"Eaton Corp",121.11,+49.44,+27.86%,+16.69%,+17.00%,+30.93%
ETR,"Entergy Corp",108.85,-2.91,-9.14%,+7.54%,+9.99%,-6.48%
ETSY,"Etsy Inc",160.7,+279.88,+262.75%,+32.17%,+34.30%,+270.36%
EVRG,"Evergy Inc",55.41,-13.30,-14.87%,+0.38%,+4.59%,-12.42%
EW,"Edwards Lifesciences Corp",83.89,+11.35,+7.88%,+17.02%,-0.52%,+2.75%
EXC,"Exelon Corp",41.07,-2.69,-9.91%,+2.96%,+10.88%,-7.50%
EXPD,"Expeditors Intl",89.37,+24.27,+14.55%,+1.13%,+0.55%,+19.54%
EXPE,"Expedia Group Inc",124.49,+50.82,+15.12%,+32.23%,+23.39%,+22.46%
EXR,"Extra Space Storage Inc",112.73,+10.20,+6.73%,-2.78%,+5.61%,+6.30%
F,"Ford Motor Company",9.08,+13.29,-2.37%,+17.46%,+30.84%,+0.22%
FANG,"Diamondback Energy",39.96,-34.40,-56.97%,+53.93%,-0.45%,-48.33%
FAST,"Fastenal Company",49.45,+41.84,+33.83%,+14.39%,+1.25%,+39.22%
FB,"Facebook Inc",276.97,+40.93,+34.94%,+5.27%,-5.68%,+37.36%
FBHS,"Fortune Brands Home & Security",83.5,+24.69,+27.79%,+3.25%,-2.24%,+31.99%
FCX,"Freeport-Mcmoran Inc",23.39,+151.39,+78.28%,+34.89%,+49.46%,+105.54%
FDX,"Fedex Corp",286.58,+113.58,+89.52%,+10.45%,+29.15%,+79.06%
FE,"Firstenergy Corp",26.56,-38.57,-45.35%,-10.63%,-6.18%,-44.31%
FFIV,"F5 Networks Inc",162.81,+28.71,+16.58%,+22.47%,+24.98%,+11.74%
FIS,"Fidelity National Information Services",148.41,+10.67,+6.70%,+19.12%,-2.66%,+7.43%
FISV,"Fiserv Inc",115.18,+9.23,-0.39%,+20.65%,+15.00%,-0.91%
FITB,"Fifth Third Bncp",25.34,-8.19,-17.57%,+9.13%,+20.04%,-16.06%
FLIR,"Flir Systems Inc",38.24,-20.02,-26.56%,+10.23%,+4.97%,-28.60%
FLS,"Flowserve Corp",34.08,-6.34,-31.53%,+17.03%,+11.63%,-30.02%
FLT,"Fleetcor Technologies",265.21,-6.97,-7.82%,+20.05%,+4.00%,-13.59%
FMC,"FMC Corp",116.01,+26.70,+16.22%,+12.92%,+6.28%,+18.43%
FOX,"Fox Corp Cl B",28.38,-10.24,-22.03%,+8.57%,+1.65%,-18.87%
FOXA,"Fox Corp Cl A",28.84,-11.35,-22.20%,+8.75%,+3.69%,-19.35%
FRC,"First Republic Bank",129.56,+21.58,+10.31%,+2.71%,+12.92%,+17.89%
FRT,"Federal Realty Investment Trust",87.22,-29.45,-32.25%,+26.81%,+8.42%,-33.96%
FTI,"Technipfmc Plc",8.31,-37.98,-61.24%,+50.27%,+6.54%,-55.89%
FTNT,"Fortinet Inc",123.23,+5.60,+15.43%,+11.65%,-5.74%,+17.24%
FTV,"Fortive Corp",70.13,+3.39,-8.19%,+13.85%,-3.71%,-2.83%
GD,"General Dynamics Corp",149.35,-12.77,-15.31%,+13.72%,-1.92%,-17.82%
GE,"General Electric Company",10.18,+13.72,-8.78%,+37.20%,+54.01%,-9.67%
GILD,"Gilead Sciences Inc",60.67,-13.98,-6.63%,+4.33%,-7.03%,-9.77%
GIS,"General Mills",60.82,+11.90,+13.55%,+2.88%,-4.05%,+14.07%
GL,"Globe Life Inc",93.1,-3.13,-11.54%,+14.81%,+9.76%,-9.40%
GLW,"Corning Inc",37.42,+49.74,+28.55%,+17.05%,+14.57%,+28.86%
GM,"General Motors Company",43.84,+49.95,+19.78%,+26.96%,+46.04%,+21.78%
GOOG,"Alphabet Cl C",1760.74,+37.53,+31.69%,+8.62%,+7.07%,+34.93%
GOOGL,"Alphabet Cl A",1754.4,+37.09,+30.99%,+8.56%,+7.01%,+34.53%
GPC,"Genuine Parts Company",98.37,+13.71,-7.40%,+8.78%,+3.68%,-5.75%
GPN,"Global Payments Inc",195.19,+30.07,+6.92%,+23.74%,+10.11%,+7.78%
GPS,"Gap Inc",20.96,+32.18,+18.55%,+7.76%,+19.50%,+26.19%
GRMN,"Garmin Ltd",116.76,+31.75,+19.68%,+12.25%,+12.53%,+19.52%
GS,"Goldman Sachs Group",230.58,+9.98,+0.28%,+21.97%,+11.01%,+4.17%
GWW,"W.W. Grainger",418.3,+42.97,+23.57%,+19.51%,+14.30%,+31.98%
HAL,"Halliburton Company",16.59,+36.39,-32.20%,+37.56%,+1.97%,-20.96%
HAS,"Hasbro Inc",93.03,-4.62,-11.91%,+12.46%,+14.94%,-8.53%
HBAN,"Huntington Bcshs",12.08,-13.73,-19.89%,+15.71%,+26.23%,-18.87%
HBI,"Hanesbrands Inc",14.2,-16.35,-4.38%,-11.64%,-9.67%,-5.77%
HCA,"Hca Holdings Inc",150.11,+14.50,+1.56%,+21.12%,+10.38%,+8.26%
HD,"Home Depot",277.41,+34.05,+27.03%,+4.01%,-3.10%,+25.80%
HES,"Hess Corp",47.18,-7.96,-29.38%,+26.76%,+0.51%,-24.01%
HFC,"Hollyfrontier Corp",23.39,-50.07,-53.87%,+26.36%,-9.38%,-54.63%
HIG,"Hartford Financial Services Group",44.2,-18.52,-27.27%,+14.75%,+6.48%,-28.55%
HII,"Huntington Ingalls Industries",160.19,-32.55,-36.15%,+8.62%,+5.07%,-36.35%
HLT,"Hilton Inc",103.63,+12.50,-6.56%,+18.02%,+12.97%,-1.30%
HOLX,"Hologic Inc",69.13,+38.96,+32.41%,+0.45%,+14.51%,+34.70%
HON,"Honeywell International Inc",203.92,+38.13,+15.21%,+23.63%,+21.11%,+14.21%
HPE,"Hewlett Packard Enterprise Comp",11.04,-19.26,-30.39%,+27.78%,+12.31%,-30.26%
HPQ,"Hp Inc",21.93,+18.69,+6.72%,+22.10%,+10.48%,+9.21%
HRL,"Hormel Foods Corp",47.18,+1.33,+4.59%,-3.10%,-6.80%,+5.95%
HSIC,"Henry Schein Inc",64.31,-1.16,-3.61%,+1.15%,-3.21%,-6.66%
HST,"Host Marriott Financial Trust",14.03,-20.42,-24.37%,+33.87%,+20.02%,-19.78%
HSY,"Hershey Foods Corp",147.89,+2.30,+0.62%,+7.59%,-0.88%,-0.18%
HUM,"Humana Inc",400.52,+15.66,+9.28%,+0.31%,-1.84%,+17.38%
HWM,"Howmet Aerospace Inc",23.46,+10.14,-23.76%,+36.00%,+30.26%,-24.22%
IBM,"International Business Machines",123.52,-4.65,-7.85%,+10.62%,-1.24%,-8.13%
ICE,"Intercontinental Exchange",105.51,+16.59,+14.00%,+11.77%,-0.05%,+12.04%
IDXX,"Idexx Laboratories",460.98,+100.26,+76.53%,+8.51%,+20.05%,+83.23%
IEX,"Idex Corp",193.15,+24.21,+12.30%,+13.36%,+6.78%,+18.69%
IFF,"International Flavors & Fragrances",112.1,-24.37,-13.11%,+9.20%,-9.94%,-20.63%
ILMN,"Illumina Inc",322.09,-1.23,-2.91%,+10.04%,-9.01%,+0.41%
INCY,"Incyte Corp",84.54,-10.16,-3.18%,-2.42%,-9.97%,-10.22%
INFO,"IHS Markit Ltd",99.46,+45.81,+32.00%,+22.99%,+23.35%,+36.90%
INTC,"Intel Corp",48.35,-17.19,-19.21%,+9.19%,-4.12%,-16.71%
INTU,"Intuit Inc",352.02,+44.69,+34.39%,+11.87%,+1.71%,+35.97%
IP,"International Paper Company",49.48,+22.39,+7.45%,+13.10%,+33.98%,+6.78%
IPG,"Interpublic Group of Companies",22.28,+21.17,-3.55%,+23.16%,+20.17%,-0.54%
IPGP,"Ipg Photonics Corp",207.01,+50.24,+42.84%,+11.32%,+29.66%,+45.69%
IQV,"Iqvia Holdings Inc",168.99,+19.14,+9.37%,+9.74%,+4.82%,+15.76%
IR,"Ingersoll Rand Inc",44.27,+47.95,+20.69%,+26.70%,+23.80%,+30.71%
IRM,"Iron Mountain Inc",27.5,-11.45,-13.71%,+5.53%,-9.36%,-14.38%
ISRG,"Intuitive Surg Inc",726.05,+26.19,+22.82%,+8.84%,-0.13%,+22.46%
IT,"Gartner Inc",152,+2.81,-1.36%,+26.56%,+15.61%,-5.27%
ITW,"Illinois Tool Works Inc",211.09,+27.46,+17.51%,+7.76%,+5.20%,+21.09%
